be_in_state|state_of
causes|is_caused_by
derived_from|has_derived
has_derived|derived_from
has_holo_madeof|has_mero_madeof
has_holo_member|has_mero_member
has_holo_part|has_mero_part
has_hyponym|has_hyperonym
has_hyperonym|has_hyponym
has_mero_madeof|has_holo_madeof
has_mero_member|has_holo_member
has_mero_part|has_holo_part
has_subevent|is_subevent_of
has_xpos_hyperonym|has_xpos_hyponym
has_xpos_hyponym|has_xpos_hyperonym
involved|role
involved_agent|role_agent
involved_instrument|role_instrument
involved_location|role_location
involved_patient|role_patient
is_caused_by|causes
is_pertained_to|pertains_to
is_subevent_of|has_subevent
near_antonym|near_antonym
near_synonym|near_synonym
pertains_to|is_pertained_to
role|involved
role_agent|involved_agent
role_instrument|involved_instrument
role_location|involved_location
role_patient|involved_patient
state_of|be_in_state
verb_group|verb_group
xpos_fuzzynym|xpos_fuzzynym
xpos_near_synonym|xpos_near_synonym
